09.01.2015 03:00:00.000 GMT-0700,0.81348,1.18133,1.51511,0.78159
09.01.2015 04:00:00.000 GMT-0700,0.81424,1.18095,1.51497,0.7813
09.01.2015 05:00:00.000 GMT-0700,0.81421,1.1817,1.51322,0.78118
09.01.2015 06:00:00.000 GMT-0700,0.81535,1.17876,1.51201,0.78095
09.01.2015 07:00:00.000 GMT-0700,0.81711,1.17833,1.51163,0.77909
09.01.2015 08:00:00.000 GMT-0700,0.8187,1.18321,1.51469,0.78222
09.01.2015 09:00:00.000 GMT-0700,0.81898,1.18295,1.51495,0.78293
09.01.2015 10:00:00.000 GMT-0700,0.81902,1.18305,1.51413,0.7825
09.01.2015 11:00:00.000 GMT-0700,0.81979,1.18383,1.51608,0.78327
09.01.2015 12:00:00.000 GMT-0700,0.82006,1.18416,1.51642,0.78313
09.01.2015 13:00:00.000 GMT-0700,0.82043,1.1843,1.51648,0.78403
09.01.2015 14:00:00.000 GMT-0700,0.82013,1.18406,1.51554,0.78326
11.01.2015 15:00:00.000 GMT-0700,0.82189,1.18668,1.51902,0.78565
11.01.2015 16:00:00.000 GMT-0700,0.8222,1.18697,1.51889,0.78446
11.01.2015 17:00:00.000 GMT-0700,0.82218,1.18668,1.51732,0.78398
11.01.2015 18:00:00.000 GMT-0700,0.82277,1.18569,1.5171,0.78505
11.01.2015 19:00:00.000 GMT-0700,0.82263,1.18475,1.5164,0.78499
11.01.2015 20:00:00.000 GMT-0700,0.82461,1.1855,1.51648,0.78552
11.01.2015 21:00:00.000 GMT-0700,0.82432,1.18529,1.51627,0.78505
11.01.2015 22:00:00.000 GMT-0700,0.82519,1.18615,1.51662,0.78479
11.01.2015 23:00:00.000 GMT-0700,0.8243,1.18562,1.51659,0.78401
12.01.2015 00:00:00.000 GMT-0700,0.82242,1.18542,1.51568,0.78318
12.01.2015 01:00:00.000 GMT-0700,0.81853,1.18152,1.51138,0.78084
12.01.2015 02:00:00.000 GMT-0700,0.81618,1.18132,1.51212,0.77669
12.01.2015 03:00:00.000 GMT-0700,0.81668,1.17951,1.5119,0.777
12.01.2015 04:00:00.000 GMT-0700,0.81661,1.17991,1.51391,0.77761
12.01.2015 05:00:00.000 GMT-0700,0.81338,1.17904,1.51306,0.77381
12.01.2015 06:00:00.000 GMT-0700,0.81507,1.18237,1.51574,0.77534
12.01.2015 07:00:00.000 GMT-0700,0.81524,1.18397,1.51692,0.77665
12.01.2015 08:00:00.000 GMT-0700,0.81587,1.18166,1.51368,0.77638
12.01.2015 09:00:00.000 GMT-0700,0.81633,1.18312,1.51663,0.77744
12.01.2015 10:00:00.000 GMT-0700,0.81538,1.1826,1.51639,0.77636
12.01.2015 11:00:00.000 GMT-0700,0.81676,1.18416,1.51867,0.77783
12.01.2015 12:00:00.000 GMT-0700,0.81633,1.18394,1.51793,0.77754
12.01.2015 13:00:00.000 GMT-0700,0.81571,1.18372,1.51779,0.7783
12.01.2015 14:00:00.000 GMT-0700,0.81556,1.18335,1.51712,0.77802
12.01.2015 15:00:00.000 GMT-0700,0.81518,1.18294,1.51659,0.77734
12.01.2015 16:00:00.000 GMT-0700,0.81508,1.18318,1.51699,0.77687
12.01.2015 17:00:00.000 GMT-0700,0.81542,1.18419,1.51732,0.77716
12.01.2015 18:00:00.000 GMT-0700,0.81692,1.18441,1.51779,0.77773
